Mouse_name,x,y,z
tStr_SNL_photo16,291,159,375
tStr_SNL_photo17,283,162.75,93.5
tStr_SNL_photo18,280,158.83,363.83
tStr_SNL_photo21,286,148.83,365.83
tStr_SNL_photo22,290,150.83,86.83
tStr_SNL_photo26,283,150.17,94.17
tStr_SNL_photo37,280,153,93
tStr_SNL_photo43,293,151.17,84.17
tStr_SNL_photo44,281,150.8,361.5
tStr_SNL_photo57,280,143,82
tStr_SNL_photo58,287,160.67,369.5
tStr_SNL_photo72,286,147.167,85.5
Nac_SNL_photo28,158,212,292
Nac_SNL_photo30,187,206,297
Nac_SNL_photo32,168,217,164
Nac_SNL_photo33,174,211.67,294.25
Nac_SNL_photo34,180,209.5,164.17
Nac_SNL_photo35,177,203.75,297.125
